speaker,word,time,time_norm,point,f1,f2,f3,pitch,sentence_norm
lm01,növ,230.9125669591559,0.04419335364912058,2,606.3889278328422,1839.682690480354,2772.867116056855,253.29679618987316,cul lì l' è növ
lm01,növ,230.9125669591559,0.06629003047368087,3,683.356185878902,1835.6945846840722,2697.9733393738006,263.5171073764386,cul lì l' è növ
lm01,növ,230.9125669591559,0.08838670729824116,4,671.6805788611324,1832.5849491189483,2615.6136165541534,268.70641587867,cul lì l' è növ
lm01,növ,230.9125669591559,0.11048338412280145,5,639.7124822885847,1815.4765575304998,2618.7526981921783,267.93079903304255,cul lì l' è növ
lm01,növ,230.9125669591559,0.13258006094739017,6,585.3386967398437,1782.7993073240898,2605.4454522785986,258.1666772647324,cul lì l' è növ
lm01,növ,230.9125669591559,0.15467673777195046,7,521.314746258571,1754.4583182814176,2589.296788560862,243.87773349122764,cul lì l' è növ
lm01,növ,230.9125669591559,0.17677341459651075,8,512.6964665202393,1793.4788539456802,2571.490350937441,227.89111194905277,cul lì l' è növ
lm01,növ,230.9125669591559,0.19887009142107104,9,491.5186429499102,1790.8019622349548,2584.9407507204323,211.743177420908,cul lì l' è növ
lm01,növ,230.9125669591559,0.22096676824563133,10,528.4879203982598,1750.0025640670033,2592.5605454622114,183.08075774755778,cul lì l' è növ
lm01,növ,233.279955,0.011139646994195118,1,453.436760140969,1442.9214508050384,2068.5200007865574,259.8710370972781,ul papa növ l' è giuvin
lm01,növ,233.279955,0.022279293988390236,2,530.9374750263208,1256.008624189652,1922.540252317562,251.963007762475,ul papa növ l' è giuvin
lm01,növ,233.279955,0.033418940982613776,3,518.2206681872459,1041.55690041234,1853.2101092192336,246.59191482871714,ul papa növ l' è giuvin
lm01,növ,233.279955,0.044558587976808894,4,510.6990681184338,1636.044034626558,2451.0578133748145,240.06909036504064,ul papa növ l' è giuvin
lm01,növ,233.279955,0.05569823497100401,5,496.2405310324826,1844.6669293604796,2549.2449451453167,233.59970827646603,ul papa növ l' è giuvin
lm01,növ,233.279955,0.06683788196519913,6,508.756940114339,1801.1157617168576,2457.966741862146,227.68714318314161,ul papa növ l' è giuvin
lm01,növ,233.279955,0.07797752895939425,7,477.05967975043006,1771.236530259506,2445.5206282387016,222.14146101333694,ul papa növ l' è giuvin
lm01,növ,233.279955,0.08911717595358937,8,467.6886682953489,1715.7595660044246,2489.9758624009937,217.1984020432468,ul papa növ l' è giuvin
lm01,növ,233.279955,0.1002568229478129,9,488.46991629833195,1649.9582369938248,2491.6843279330287,212.81797767387326,ul papa növ l' è giuvin
lm01,növ,233.279955,0.11139646994200803,10,479.27500843312686,1035.854192714889,2025.374257917285,209.55890188041823,ul papa növ l' è giuvin
lm01,tüss,235.85222179282664,0.009496092519640342,1,353.7783183200778,1842.9736319327264,2641.1790431774148,313.43402633077596,a g' ho la tüss
lm01,tüss,235.85222179282664,0.018992185039309106,2,371.75673477174087,1855.1624803801017,2554.299420357634,320.56070826320115,a g' ho la tüss
lm01,tüss,235.85222179282664,0.02848827755894945,3,364.5650141583175,1784.2498045215582,2553.003055657304,328.4910347535372,a g' ho la tüss
lm01,tüss,235.85222179282664,0.03798437007858979,4,355.12045218565794,1718.9730322650914,2489.9041746614234,334.8805684183905,a g' ho la tüss
lm01,tüss,235.85222179282664,0.04748046259823013,5,354.1225926385646,1720.855731623871,2490.370091086685,340.0793753765597,a g' ho la tüss
lm01,tüss,235.85222179282664,0.0569765551178989,6,357.3316489791401,1709.4105991543022,2398.1339024189115,344.3306137248722,a g' ho la tüss
lm01,tüss,235.85222179282664,0.06647264763753924,7,357.19221806671914,1697.1905936404712,2103.929533234565,345.0023614008561,a g' ho la tüss
lm01,tüss,235.85222179282664,0.07596874015717958,8,352.4831938806569,1647.707233687675,2406.404578784416,339.75172157026867,a g' ho la tüss
lm01,tüss,235.85222179282664,0.08546483267681992,9,345.5713731895548,1714.442002614014,2540.752841012075,328.514010385612,a g' ho la tüss
lm01,tüss,235.85222179282664,0.09496092519648869,10,374.9029566213106,1797.6027873888709,2579.771558792701,310.9190318938686,a g' ho la tüss
lm01,pich,238.51454198478848,0.01181818181817107,1,281.76729910350457,2098.8693603932747,2736.088885278991,276.12371346542176,a g' ho dai un pich
lm01,pich,238.51454198478848,0.02363636363637056,2,337.9032539026983,1918.0293664834917,2617.7095167526854,287.77676676148224,a g' ho dai un pich
lm01,pich,238.51454198478848,0.03545454545454163,3,326.0330080741392,1430.8289330726361,2622.8876296134094,299.131344622895,a g' ho dai un pich
lm01,pich,238.51454198478848,0.04727272727274112,4,324.4606527632196,1399.6035011647093,2668.850206580379,310.3393918958749,a g' ho dai un pich
lm01,pich,238.51454198478848,0.05909090909091219,5,336.8251311911556,1485.6775628569687,2635.2657149011316,327.20778477205477,a g' ho dai un pich
lm01,pich,238.51454198478848,0.07090909090911168,6,336.1360958463499,1404.7677438732128,2657.625353286766,332.54602271081177,a g' ho dai un pich
lm01,pich,238.51454198478848,0.08272727272728275,7,333.8607535117612,1529.2017432844982,2698.929612893193,329.35253596536603,a g' ho dai un pich
lm01,pich,238.51454198478848,0.09454545454548224,8,326.09693200938995,1480.2123606266111,2745.282412438718,316.5315038527999,a g' ho dai un pich
lm01,pich,238.51454198478848,0.10636363636365331,9,399.3311177896344,1086.4324718994253,2747.132876401076,281.7403639697395,a g' ho dai un pich
lm01,pich,238.51454198478848,0.1181818181818528,10,340.3311301821919,1357.8528044022119,2690.0905226729474,266.1733662439002,a g' ho dai un pich
lm01,pich,240.99970208377488,0.006756835062049049,1,329.3293348123368,1933.757873174283,2526.1967725374384,292.1358146411896,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.01351367012412652,2,317.4021063888022,1602.9225031885048,2584.3708864707282,287.89834461949255,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.02027050518617557,3,320.4767453936656,1324.276182932994,2588.158344777894,286.7704434559478,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.02702734024822462,4,318.5495461547706,1172.6610507157689,2567.5682405301745,285.01511556653,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.03378417531027367,5,311.11845303221327,1194.9389990789132,2555.571726127589,282.8442016870567,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.04054101037235114,6,309.66682726835046,1209.062647213479,2551.772154760132,280.1291935699153,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.04729784543440019,7,315.07291609242037,1165.2302769747819,2564.497423192348,276.2251496830622,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.05405468049644924,8,326.6027177653803,1085.9544372402595,2630.514964898016,271.16605505785435,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.060811515558498286,9,341.3431707782967,1066.7333730298362,2640.2527192595726,264.10704456528555,l' ass da pich l' è na carta
lm01,pich,240.99970208377488,0.06756835062057576,10,354.72014285748753,1182.452888262397,2630.5927892214386,253.35791368514867,l' ass da pich l' è na carta
lm01,set,243.769932,0.012783201468749894,1,756.3631561508233,1910.3529218233662,2729.593826220392,385.2329652964763,ul set l' è un nümar
lm01,set,243.769932,0.02556640293752821,2,747.19598745128,1796.4804096035946,2751.498651035304,370.0851000323639,ul set l' è un nümar
lm01,set,243.769932,0.038349604406278104,3,760.246661484248,1675.2458432975384,2341.4565599532834,331.6840438854696,ul set l' è un nümar
lm01,set,243.769932,0.051132805875028,4,847.9818822544129,1832.9904273724032,2137.5624896277036,302.47512757705886,ul set l' è un nümar
lm01,set,243.769932,0.06391600734377789,5,861.8978917702478,2041.4257677781727,2217.1327962061882,291.9252036510918,ul set l' è un nümar
lm01,set,243.769932,0.07669920881255621,6,846.0345464191735,1913.5355671629113,2495.612554417517,282.475588827566,ul set l' è un nümar
lm01,set,243.769932,0.0894824102813061,7,797.4644213916631,1903.6193271777674,2173.5076763238735,268.9397265296394,ul set l' è un nümar
lm01,set,243.769932,0.102265611750056,8,765.5192194488412,1400.4427186164985,2323.1778818884345,257.450295986243,ul set l' è un nümar
lm01,set,243.769932,0.11504881321880589,9,714.285766270587,1254.3449752372824,2376.8835912778454,247.21924818153997,ul set l' è un nümar
lm01,set,243.769932,0.1278320146875842,10,661.4065306812787,1208.4833698223454,2341.8810879881253,233.9966339977016,ul set l' è un nümar
lm01,figh,246.414943,0.011757032724148075,1,365.49549503494774,2508.7686042629757,2641.1007530834686,271.2305157250992,ul figh l' è dulz
lm01,figh,246.414943,0.02351406544829615,2,341.34966999526006,1896.6384120690623,2632.605968483586,273.0622166664296,ul figh l' è dulz
lm01,figh,246.414943,0.03527109817247265,3,318.07125577392264,914.5145724445053,2653.4985164034783,271.04124756492257,ul figh l' è dulz
lm01,figh,246.414943,0.04702813089662072,4,346.589912419939,761.0522927701153,2624.309382126648,263.4633778222298,ul figh l' è dulz
lm01,figh,246.414943,0.0587851636207688,5,365.4770705780522,710.5840121879532,2546.896674905733,256.2114177061575,ul figh l' è dulz
lm01,figh,246.414943,0.07054219634491687,6,296.74241450820927,476.95041901112666,2520.606088600461,249.5456551187236,ul figh l' è dulz
lm01,figh,246.414943,0.08229922906906495,7,448.9091201390052,2173.1909125363177,3829.936517691542,240.91152195458227,ul figh l' è dulz
