speaker,word,word_start,consonant_duration,voicing_duration,sentence_norm
lm01,göb,256.339955,0.06590121667403537,0.06590121667403537,ul göb l' è bass
lm01,pass,259.03976572422465,0.24507189012786057,0.019796164653655524,a fagh un pass
lm01,sed,260.88413736004793,0.06628993749365009,0.06628993749365009,la sed l' è brüta
lm01,sach,263.644943,0.28323882383637056,0.0056820161267410185,a vighi ul sach
lm01,lagh,265.72237533716424,0.07030750946290709,0.07030750946290709,ul lagh l' è sü
lm01,fögh,267.8328270547653,0.05589897745977623,0.05589897745977623,ul fögh l' è russ
lm01,tus,270.5231590378614,0.271186107928429,0.05166864387871328,a vighi ul tus
lm01,göb,273.1997586209639,0.12856230301792948,0.08014242479197264,a vighi ul göb
lm01,fögh,275.4953905344807,0.16873802271101113,0.08860340871774497,a vighi ul fögh
lm01,figh,277.889955,0.18079073861895267,0.12031150191495499,a vighi ul figh
lm01,tüss,279.96238563941796,0.04218450567776699,0.04218450567776699,la tüss la vegn cul frecc
lm01,nas,283.21305609368596,0.23502796020460437,0.055976979073193434,a vighi ul nas
lm01,pass,285.394921,0.14463259089518488,0.007214660999579792,ti gh' è ul pass lent
lm01,lagh,288.854943,0.18882588255758037,0.027635136317485376,a vighi ul lagh
lm01,tus,291.31358025250523,0.0723162954475356,0.04744496951133215,ul me tus l' è grand
lm01,pich,293.96,0.06428115150896474,0.01729565747638162,l' ass da pich l' è na carta
lm01,tüss,296.9709577596224,0.2651597499744298,0.017696007995198215,a g' ho la tüss
lm01,növ,299.2497637744763,0.06628993749359324,0.06628993749359324,ul papa növ l' è giuvin
lm01,fögh,301.9301069614123,0.12052715907930178,0.1039559332429576,a vighi ul fögh
lm01,növ,304.3586459810671,0.3234145435294522,0.051840622714337314,cul lì l' è növ
lm01,lagh,306.279932,0.06834220711340322,0.06834220711340322,ul lagh l' è sü
lm01,pass,308.864921,0.13057108900261483,0,ti gh' è ul pass lent
lm01,sach,311.0557982283452,0.0940958815269255,0,ul sach l' è pien
lm01,sed,313.664943,0.16271166475701193,0.01756859266322408,a g' ho sed
lm01,göb,315.7811697539728,0.06384621574579796,0.06384621574579796,ul göb l' è bass
lm01,pass,318.7136960717436,0.3140825016157578,0.07510485852509419,a fagh un pass
lm01,nas,321.159955,0.3455111893607068,0.06266405938595199,a vighi ul nas
lm01,figh,323.499955,0.20690495641946427,0.09270367781931554,a vighi ul figh
lm01,göb,326.449955,0.21694888634272047,0.15662763358966458,a vighi ul göb
lm01,tus,328.655816925398,0.0347015108104074,0.0347015108104074,ul me tus l' è grand
lm01,pich,331.61429512090416,0.21293131437340662,0.04063742033338258,a g' ho dai un pich
lm01,nas,333.584943,0.05775255655618139,0.05775255655618139,ul nas l' è lung
lm01,lagh,336.36,0.13489800000002106,0.13489800000002106,a vighi ul lagh
