index,speaker,file,rec_date,word,time,word_duration,c1_duration,c1_closure,c1_rvot,c1_rvofft,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,c1_rel,v_onset,v_offset,c2_rel,rel_rel
52,pl02,pl02-052,07/02/2017 16:27:20,paka,121.8207519728,342.6733954192,114.2244651397,95.0977110811,19.1267540587,101.1340623641,82.0073083054,61.6469492489,24.2654689759,85.9124182248,60.5292037493,0.97492,1.0908156703,1.1099424244,1.1919497327,1.2535966819,162.781011613
53,pl02,pl02-053,07/02/2017 16:27:25,poto,124.309955,317.1275849299,130,92.421390256,37.5786097439,103.6477871753,66.0691774314,50.7469078526,27.3552905335,78.1021983861,42.9562091124,0.924988,1.3482267304,1.3858053401,1.4518745176,1.5026214254,154.3946950279
54,pl02,pl02-054,07/02/2017 16:27:30,pugu,126.6791526159,390.510883446,165.9671254645,119.6522463764,46.3148790882,86.3422446414,40.0273655532,70.0847146425,50.9736592257,121.0583738683,63.45801856,1.074966,1.2369001004,1.2832149795,1.323242345,1.3933270597,156.4269592839
55,pl02,pl02-055,07/02/2017 16:27:35,podo,129.079977,367.1982173595,150,100.01450714,49.9854928599,142.2203403408,92.2348474809,45.9938150285,11.7713374906,57.7651525191,67.1982173595,1.024989,1.2496513711,1.2996368639,1.3918717114,1.4378655265,188.2141553694
56,pl02,pl02-056,07/02/2017 16:27:40,putu,131.329955,320,130,89.8790975596,40.1209024404,89.5169765827,49.3960741423,52.5616213457,43.1134587177,95.6750800634,44.9288457943,0.955011,1.144278542,1.1843994444,1.2337955186,1.2863571399,142.0785979284
57,pl02,pl02-057,07/02/2017 16:27:46,poko,133.6680631378,352.4357541109,122.0345408971,88.0270382187,34.0075026785,125.7774774331,91.7699747546,56.1269360403,32.7142097328,88.8411457731,49.790092686,0.944988,1.1120992463,1.146106749,1.2378767238,1.2940036598,181.9044134734
58,pl02,pl02-058,07/02/2017 16:27:51,pada,135.939977,343.8672240092,140,96.2514576865,43.7485423136,143.1541993148,99.4056570013,46.2886009431,9.359149706,55.6477506491,48.8138163588,0.959955,1.0470221085,1.0907706508,1.1901763078,1.2364649087,189.4428002579
59,pl02,pl02-059,07/02/2017 16:27:56,pudu,138.419955,359.7602515031,160,116.8565241373,43.1434758627,119.8929101415,76.7494342788,46.6030887208,26.6474770004,73.2505657212,49.7602515031,1.044988,1.3533194606,1.3964629365,1.4732123708,1.5198154595,166.4959988623
60,pl02,pl02-060,07/02/2017 16:28:01,paga,140.924989,375.0606250117,155.3984513968,120.1616309461,35.2368204507,131.8881768413,96.6513563905,45.3623675132,11.2616594631,56.6240269763,66.386790248,0.989977,1.3539034654,1.3891402859,1.4857916423,1.5311540098,177.2505443545
61,pl02,pl02-061,07/02/2017 16:28:15,pata,143.469977,325.6542883374,110,97.8415771939,12.1584228061,107.7307229007,95.5723000946,42.6962240084,41.2635401289,83.9597641372,36.1222241056,0.9004941748,1.2875464684,1.2997048912,1.3952771913,1.4379734153,150.4269469091
62,pl02,pl02-062,07/02/2017 16:28:20,puku,145.694966,333.4588611685,140,93.3349868126,46.6650131874,96.6650131874,50,49.3621619165,50.6378380835,100,43.4588611685,0.915011,1.1512034811,1.1978684943,1.2478684943,1.2972306562,146.0271751039
63,pl02,pl02-063,07/02/2017 16:28:25,pogo,148.0103150757,408.08350476,181.5873968549,140.2882972859,41.2990995691,119.4012057432,78.1021061742,58.0138112335,15.2069133048,73.2207245383,75.1732771926,1.054966,1.2843902211,1.3256893206,1.4037914268,1.461805238,177.4150169767
64,pl02,pl02-064,07/02/2017 16:28:30,paka,150.5332908532,400.2732941426,136.6786858048,109.8165355057,26.8621502991,117.6558487266,90.7936984275,56.1273482132,55.168153085,111.2955012982,61.5054086122,1.009977,1.3271890213,1.3540511716,1.4448448701,1.5009722183,173.7831969397
65,pl02,pl02-065,07/02/2017 16:28:36,poto,152.764966,385.4841020527,160,106.8539762927,53.1460237074,128.2835713748,75.1375476674,56.5426026393,38.1562010969,94.6988037362,55.6477506491,0.995011,1.0945864162,1.1477324399,1.2228699876,1.2794125902,184.8261740141
66,pl02,pl02-066,07/02/2017 16:28:41,pugu,155.074989,389.6868157366,166.1195368131,122.1208468828,43.9986899303,92.8125062892,48.8138163589,55.9076146504,29.1590321777,85.0666468281,89.6868157366,1.039954,1.1443207312,1.1883194212,1.2371332375,1.2930408522,148.7201209395
67,pl02,pl02-067,07/02/2017 16:28:46,podo,157.409977,427.7292407622,200,152.2783954846,47.7216045154,141.7009884544,93.979383939,49.192669257,11.3364630279,60.529132285,73.2207245383,1.089978,1.2919606109,1.3396822154,1.4336615994,1.4828542686,190.8936577114
68,pl02,pl02-068,07/02/2017 16:28:51,putu,159.999955,417.0652209223,180,120.0710602338,59.9289397662,130.2226101463,70.2936703801,79.9868340628,39.7194955571,119.7063296199,47.0652209223,1.124988,1.3419761736,1.4019051134,1.4721987838,1.5521856178,210.2094442091
69,pl02,pl02-069,07/02/2017 16:28:57,poko,162.3955796023,387.5817018893,149.3702780581,107.3611491908,42.0091288673,113.2773007512,71.2681718839,69.1753634216,42.1201378766,111.2955012982,55.6477506491,0.989977,1.2751856495,1.3171947783,1.3884629502,1.4576383136,182.4526641728
70,pl02,pl02-070,07/02/2017 16:29:03,pada,164.854943,377.6291596177,200.9231443986,142.7865675284,58.1365768702,130.3810250813,72.2444482111,26.7983278074,18.1103832427,44.9087110501,59.5528559578,1.06,1.2157794541,1.273916031,1.3461604792,1.372958807,157.1793528887
71,pl02,pl02-071,07/02/2017 16:29:08,pudu,167.259955,417.8368535321,200,141.5076352714,58.4923647286,126.9589402026,68.466575474,55.9303861831,16.314062028,72.2444482111,77.125829847,1.1532628431,1.2162472158,1.2747395805,1.343206156,1.3991365422,182.8893263857
72,pl02,pl02-072,07/02/2017 16:29:14,paga,169.5759520364,376.8426622903,146.4414490765,113.0707065618,33.3707425147,124.1644409422,90.7936984275,51.7846172791,11.6733439874,63.4579612665,76.1495535198,1.029932,1.1469819266,1.1803526691,1.2711463675,1.3229309848,175.9490582213
