index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,18,18,6,,,,,,,,,,,,,,,,z,0.402704000473,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,19,19,27,,,,,,,,,,,,,,,,z,0.819466114044,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,z,0.619793891907,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,21,21,15,,,,,,,,,,,,,,,,slash,1.66942310333,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,22,22,16,,,,,,,,,,,,,,,,slash,1.83498001099,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_left,confound,,,,,,,,,0,0,0,0,,,,,0,23,23,14,,,,,,,,,,,,,,,,slash,0.486442804337,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,24,24,3,,,,,,,,,,,,,,,,z,0.720813035965,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,25,25,33,,,,,,,,,,,,,,,,z,0.969372034073,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,26,26,18,,,,,,,,,,,,,,,,z,0.436202049255,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,27,27,37,,,,,,,,,,,,,,,,z,0.469156980515,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,28,28,36,,,,,,,,,,,,,,,,z,0.40004491806,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,29,29,19,,,,,,,,,,,,,,,,z,1.15061306953,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_left,confound,,,,,,,,,0,0,0,0,,,,,0,30,30,28,,,,,,,,,,,,,,,,slash,0.369067907333,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,31,31,29,,,,,,,,,,,,,,,,slash,0.235334873199,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,32,32,35,,,,,,,,,,,,,,,,z,0.602996110916,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,33,33,2,,,,,,,,,,,,,,,,z,0.5858938694,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
