index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,2,41,30,,,,,,,,,,,,,,,,slash,0.33579492569,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,3,42,7,,,,,,,,,,,,,,,,z,0.21882891655,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,4,43,5,,,,,,,,,,,,,,,,z,0.253084897995,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,5,44,32,,,,,,,,,,,,,,,,z,0.40246295929,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,6,45,25,,,,,,,,,,,,,,,,slash,0.452318906784,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,7,46,23,,,,,,,,,,,,,,,,z,0.369072914124,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,8,47,17,,,,,,,,,,,,,,,,z,0.384105920792,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,9,48,3,,,,,,,,,,,,,,,,z,0.285780906677,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,10,49,9,,,,,,,,,,,,,,,,z,0.236104011536,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,11,50,35,,,,,,,,,,,,,,,,z,0.33376288414,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,12,51,15,,,,,,,,,,,,,,,,slash,0.169502973557,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,13,52,22,,,,,,,,,,,,,,,,z,0.202443122864,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,14,53,31,,,,,,,,,,,,,,,,z,0.268702030182,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,15,54,8,,,,,,,,,,,,,,,,z,0.252582073212,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,16,55,2,,,,,,,,,,,,,,,,z,0.236179113388,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,17,56,11,,,,,,,,,,,,,,,,slash,0.435757875443,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,18,57,37,,,,,,,,,,,,,,,,slash,0.336202144623,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,19,58,21,,,,,,,,,,,,,,,,z,0.253033161163,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,20,59,16,,,,,,,,,,,,,,,,z,0.203098058701,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,21,60,36,,,,,,,,,,,,,,,,slash,0.102004051208,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,22,61,33,,,,,,,,,,,,,,,,slash,0.0505230426788,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,23,62,18,,,,,,,,,,,,,,,,z,0.152627944946,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_left,confound,,,,,,,,,0,0,0,0,,,,,1,24,63,0,,,,,,,,,,,,,,,,slash,0.186160802841,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,25,64,12,,,,,,,,,,,,,,,,slash,0.300462007523,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,26,65,10,,,,,,,,,,,,,,,,slash,0.384763002396,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_left,confound,,,,,,,,,0,0,0,0,,,,,1,27,66,14,,,,,,,,,,,,,,,,slash,0.319411993027,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,28,67,20,,,,,,,,,,,,,,,,z,0.152667045593,2018_Jan_22_1302,59.9721751564,perceptual-pilot,m002,
