index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_right,confound,0,0,0,0,,,,,1,21,60,0,,,,,,,,,,,,,,,,,,,,z,0.152868032455,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_right,burst,0,0,0,0,,,,,1,22,61,20,,,,,,,,,,,,,,,,,,,,slash,0.369791984558,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_right,burst,0,0,0,0,,,,,1,23,62,15,,,,,,,,,,,,,,,,,,,,z,0.683912038803,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,0,0,0,0,,,,,1,24,63,10,,,,,,,,,,,,,,,,,,,,slash,0.636653900146,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,0,0,0,0,,,,,1,25,64,37,,,,,,,,,,,,,,,,,,,,z,0.352944850922,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_right,voicing,0,0,0,0,,,,,1,26,65,11,,,,,,,,,,,,,,,,,,,,slash,0.503088951111,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
14,5,6,../data/raw/stimuli/pata6.wav,a,,t_right,voicing,0,0,0,0,,,,,1,27,66,13,,,,,,,,,,,,,,,,,,,,z,0.619776964188,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,0,0,0,0,,,,,1,28,67,9,,,,,,,,,,,,,,,,,,,,z,0.486829042435,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_right,voicing,0,0,0,0,,,,,1,29,68,21,,,,,,,,,,,,,,,,,,,,slash,0.202044963837,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_right,voicing,0,0,0,0,,,,,1,30,69,8,,,,,,,,,,,,,,,,,,,,slash,0.570145845413,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
