stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
40,Ripete "paco" da sempre,Ripete X da sempre,paco,p,a,k,central,low,labial,velar,0,68,68,39,space,1.06944417953,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
115,Sentivo "tuco" di nuovo,Sentivo X di nuovo,tuco,t,u,k,back,high,coronal,velar,0,69,69,114,space,0.969377994537,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
80,Ripete "tato" da sempre,Ripete X da sempre,tato,t,a,t,central,low,coronal,coronal,0,70,70,79,space,1.23658180237,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
109,Scrivete "toco" sul foglio,Scrivete X sul foglio,toco,t,o,k,back,mid-low,coronal,velar,0,71,71,108,space,1.06983804703,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
157,Scrivete "checo" sul foglio,Scrivete X sul foglio,checo,k,e,k,front,mid-high,velar,velar,0,72,72,156,space,1.08429598808,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
97,Scrivete "taco" sul foglio,Scrivete X sul foglio,taco,t,a,k,central,low,coronal,velar,0,73,73,96,space,1.03574800491,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
8,Ripete "pepo" da sempre,Ripete X da sempre,pepo,p,e,p,front,mid-high,labial,labial,0,74,74,7,space,1.05261087418,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
25,Scrivete "pito" sul foglio,Scrivete X sul foglio,pito,p,i,t,front,high,labial,coronal,0,75,75,24,space,1.57117795944,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
14,Ha detto "popo" sei volte,Ha detto X sei volte,popo,p,o,p,back,mid-low,labial,labial,0,76,76,13,space,1.21835398674,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
39,Sentivo "paco" di nuovo,Sentivo X di nuovo,paco,p,a,k,central,low,labial,velar,0,77,77,38,space,0.886389017105,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
110,Ha detto "toco" sei volte,Ha detto X sei volte,toco,t,o,k,back,mid-low,coronal,velar,0,78,78,109,space,1.15599393845,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
161,Scrivete "chico" sul foglio,Scrivete X sul foglio,chico,k,i,k,front,high,velar,velar,0,79,79,160,space,1.18594002724,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
117,Scrivete "capo" sul foglio,Scrivete X sul foglio,capo,k,a,p,central,low,velar,labial,0,80,80,116,space,1.03567004204,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
119,Sentivo "capo" di nuovo,Sentivo X di nuovo,capo,k,a,p,central,low,velar,labial,0,81,81,118,space,0.903839826584,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
170,Ha detto "cuco" sei volte,Ha detto X sei volte,cuco,k,u,k,back,high,velar,velar,0,82,82,169,space,0.985553979874,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
134,Ha detto "cupo" sei volte,Ha detto X sei volte,cupo,k,u,p,back,high,velar,labial,0,83,83,133,space,1.00260901451,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
123,Sentivo "chepo" di nuovo,Sentivo X di nuovo,chepo,k,e,p,front,mid-high,velar,labial,0,84,84,122,space,1.10217499733,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
67,Sentivo "tipo" di nuovo,Sentivo X di nuovo,tipo,t,i,p,front,high,coronal,labial,0,85,85,66,space,5.50148296356,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
116,Ripete "tuco" da sempre,Ripete X da sempre,tuco,t,u,k,back,high,coronal,velar,0,86,86,115,space,1.27049684525,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
150,Ha detto "coto" sei volte,Ha detto X sei volte,coto,k,o,t,back,mid-low,velar,coronal,0,87,87,149,space,1.36873602867,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
96,Ripete "tuto" da sempre,Ripete X da sempre,tuto,t,u,t,back,high,coronal,coronal,0,88,88,95,space,1.03556799889,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
154,Ha detto "cuto" sei volte,Ha detto X sei volte,cuto,k,u,t,back,high,velar,coronal,0,89,89,153,space,1.10285019875,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
159,Sentivo "checo" di nuovo,Sentivo X di nuovo,checo,k,e,k,front,mid-high,velar,velar,0,90,90,158,space,1.00264215469,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
90,Ha detto "toto" sei volte,Ha detto X sei volte,toto,t,o,t,back,mid-low,coronal,coronal,0,91,91,89,space,1.08474206924,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
23,Sentivo "pato" di nuovo,Sentivo X di nuovo,pato,p,a,t,central,low,labial,coronal,0,92,92,22,space,1.06105399132,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
30,Ha detto "poto" sei volte,Ha detto X sei volte,poto,p,o,t,back,mid-low,labial,coronal,0,93,93,29,space,0.935898065567,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
61,Scrivete "tepo" sul foglio,Scrivete X sul foglio,tepo,t,e,p,front,mid-high,coronal,labial,0,94,94,60,space,1.15330719948,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
48,Ripete "pico" da sempre,Ripete X da sempre,pico,p,i,k,front,high,labial,velar,0,95,95,47,space,1.11910390854,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
126,Ha detto "chipo" sei volte,Ha detto X sei volte,chipo,k,i,p,front,high,velar,labial,0,96,96,125,space,1.27013802528,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
