stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
133,Scrivete "cupo" sul foglio,Scrivete X sul foglio,cupo,k,u,p,back,high,velar,labial,0,117,117,132,space,1.8201520443,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
10,Ha detto "pipo" sei volte,Ha detto X sei volte,pipo,p,i,p,front,high,labial,labial,0,118,118,9,space,1.51980900764,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
168,Ripete "coco" da sempre,Ripete X da sempre,coco,k,o,k,back,mid-low,velar,velar,0,119,119,167,space,1.65379500389,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
122,Ha detto "chepo" sei volte,Ha detto X sei volte,chepo,k,e,p,front,mid-high,velar,labial,0,120,120,121,space,1.57137584686,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
62,Ha detto "tepo" sei volte,Ha detto X sei volte,tepo,t,e,p,front,mid-high,coronal,labial,0,121,121,61,space,1.63893890381,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
66,Ha detto "tipo" sei volte,Ha detto X sei volte,tipo,t,i,p,front,high,coronal,labial,0,122,122,65,space,1.57128095627,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
160,Ripete "checo" da sempre,Ripete X da sempre,checo,k,e,k,front,mid-high,velar,velar,0,123,123,159,space,1.58831000328,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
49,Scrivete "poco" sul foglio,Scrivete X sul foglio,poco,p,o,k,back,mid-low,labial,velar,0,124,124,48,space,1.82284212112,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
40,Ripete "paco" da sempre,Ripete X da sempre,paco,p,a,k,central,low,labial,velar,0,125,125,39,space,1.57012200356,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
141,Scrivete "cheto" sul foglio,Scrivete X sul foglio,cheto,k,e,t,front,mid-high,velar,coronal,0,126,126,140,space,1.52176809311,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
16,Ripete "popo" da sempre,Ripete X da sempre,popo,p,o,p,back,mid-low,labial,labial,0,127,127,15,space,1.47110891342,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
171,Sentivo "cuco" di nuovo,Sentivo X di nuovo,cuco,k,u,k,back,high,velar,velar,0,128,128,170,space,1.53756093979,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
25,Scrivete "pito" sul foglio,Scrivete X sul foglio,pito,p,i,t,front,high,labial,coronal,0,129,129,24,space,1.50388097763,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
71,Sentivo "topo" di nuovo,Sentivo X di nuovo,topo,t,o,p,back,mid-low,coronal,labial,0,130,130,70,space,1.45497703552,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
83,Sentivo "teto" di nuovo,Sentivo X di nuovo,teto,t,e,t,front,mid-high,coronal,coronal,0,131,131,82,space,1.45540904999,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
18,Ha detto "pupo" sei volte,Ha detto X sei volte,pupo,p,u,p,back,high,labial,labial,0,132,132,17,space,1.57213902473,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
154,Ha detto "cuto" sei volte,Ha detto X sei volte,cuto,k,u,t,back,high,velar,coronal,0,133,133,153,space,1.42030882835,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
129,Scrivete "copo" sul foglio,Scrivete X sul foglio,copo,k,o,p,back,mid-low,velar,labial,0,134,134,128,space,1.60300302505,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
12,Ripete "pipo" da sempre,Ripete X da sempre,pipo,p,i,p,front,high,labial,labial,0,135,135,11,space,1.5704240799,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
37,Scrivete "paco" sul foglio,Scrivete X sul foglio,paco,p,a,k,central,low,labial,velar,0,136,136,36,space,1.63825201988,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
