sound,time,period,maximum.abs,minimum.abs,maximum,minimum
mod2bre,3.3747669364394173,0.008118232552743354,3.3788719415449635,3.3818230633751836,0.5056525640127233,0.8691703384848037
mod2bre,3.3828851689921606,0.008165862941964974,3.387004671974608,3.3900045052026777,0.5044785850221687,0.8718412568413663
mod2bre,3.3910510319341256,0.008129721179306326,3.3951665909001534,3.3980571494077325,0.5062361765251757,0.8617906222221402
mod2bre,3.399180753113432,0.008133799674819198,3.4033025383656628,3.4062833189123984,0.5067478198401115,0.8732162191005016
mod2bre,3.407314552788251,0.008131364617939507,3.411443482766449,3.4144030472411084,0.5077782355360626,0.8717472141414729
mod2bre,3.4154459174061906,0.008150781139476315,3.4195103019480735,3.4225567177414535,0.4986496965546033,0.8724072225204869
mod2bre,3.423596698545667,0.008029904051832126,3.4276049544493388,3.4306208860175866,0.49916610183620874,0.8747535993679807
mod2bre,3.431626602597499,0.008085918793784508,3.435682919034025,3.438698676161276,0.5016518889162876,0.8746159520193282
mod2bre,3.4397125213912836,0.008075420512454912,3.4438061669606803,3.4467781429084763,0.5069266130578594,0.874954004722754
mod2bre,3.4477879419037385,0.008167517925320666,3.4519330990331554,3.4548836963731038,0.5075173592905378,0.8687773365476502
mod2bre,3.455955459829059,0.008124474733740783,3.4599801855845573,3.4630205804379974,0.495382887804865,0.8696095243667831
mod2bre,3.4640799345628,0.00809927586859871,3.4681790169974933,3.4711446584379564,0.5061048050709955,0.872266112399841
mod2bre,3.4721792104313987,0.008171038723184143,3.4763372312030514,3.479321418023397,0.5088729735002898,0.8740880852434656
mod2bre,3.480350249154583,0.008150329423469493,3.484536459859428,3.48747322341281,0.5136247245161478,0.8739492464827411
mod2bre,3.4885005785780523,0.008207789474251381,3.492673579304996,3.4956292481574103,0.5084195616901116,0.868524905727821
mod2bre,3.4967083680523037,0.008216297322693578,3.500768031671355,3.503852356781362,0.4940989182363997,0.8694900450262996
mod2bre,3.5049246653749973,0.008070082876382667,3.5088580646630967,3.5119799290037537,0.4874050673767732,0.8742492161268689
mod2bre,3.51299474825138,0.008068809239167862,3.516890869966773,3.520064547922891,0.48286204319719483,0.8761887240056171
mod2bre,3.521063557490548,0.008096060948102668,3.524895860102589,3.528137265492031,0.4733539725808722,0.8737221775907044
mod2bre,3.5291596184386504,0.007981706357372609,3.5329288011296818,3.5361849644281356,0.4722276819354267,0.8801809631841305
mod2bre,3.537141324796023,0.00803664732015319,3.5409797261564604,3.544157835137404,0.4776122688390129,0.8730643590376067
mod2bre,3.5451779721161762,0.00794641921284045,3.549032817085917,3.5521582792073754,0.48510465739233904,0.8784217021825117
mod2bre,3.5531243913290167,0.008102466038521605,3.5570943717651238,3.5601748687839145,0.48997186995077496,0.8701643945655202
mod2bre,3.5612268573675383,0.008044886141208796,3.5652803673798137,3.568255364722553,0.503861700604046,0.8736615076516672
mod2bre,3.569271743508747,0.008167656690194036,3.5734107740245165,3.576367653334832,0.5067586301391214,0.8687815973710071
mod2bre,3.577439400198941,0.008111282897463212,3.581598640164752,3.584502801533566,0.5127721494107419,0.8708118584834158
mod2bre,3.5855506830964043,0.008274208533684213,3.589828052659201,3.592749006202652,0.5169521103297465,0.869971197479916
mod2bre,3.5938248916300886,0.008251866541218789,3.598112757744121,3.6009723467779855,0.5196237836148201,0.8661622327742194
mod2bre,3.6020767581713073,0.008290207176058662,3.6064189649962293,3.6092415258070454,0.5237754295769361,0.8642447026449723
mod2bre,3.610366965347366,0.008212679785116084,3.6147309635567857,3.6174849673101783,0.5313732330497773,0.8667088147905555
mod2bre,3.618579645132482,0.00835608266791299,3.6230540182281343,3.6256692775598127,0.535463000244558,0.8484397185961936
mod2bre,3.626935727800395,0.008175660099956517,3.631405413475405,3.6339237684783283,0.546706396836839,0.8547371823799775
mod2bre,3.6351113879003516,0.00827344568777244,3.639620733595477,3.6421704240225976,0.5450384114795122,0.8532159862581511
mod2bre,3.643384833588124,0.008281686940827537,3.647933354795709,3.6504168381711,0.549226412454847,0.8491029222934212
mod2bre,3.6516665205289516,0.008382514103342231,3.656279782702268,3.6587398496625,0.5503435027299259,0.843819532701804
mod2bre,3.660049034632294,0.008252593974423128,3.664646422042839,3.6670732618266983,0.557083921103334,0.8511538573416304
mod2bre,3.668301628606717,0.008349540328060012,3.6729818586591922,3.6753386492625997,0.5605374509955502,0.8428033615495777
mod2bre,3.676651168934777,0.008232158581272131,3.681311020028634,3.6836071483474346,0.5660545831147994,0.8449763623944628
mod2bre,3.684883327516049,0.00837016004617741,3.6896414527211805,3.691932582739423,0.5684628703491057,0.8421888212989659
mod2bre,3.6932534875622265,0.008265221273048962,3.697978529688897,3.7002379972715045,0.5716776321618868,0.8450481213434565
mod2bre,3.7015187088352755,0.008369770176857472,3.7063072807480033,3.7085346350411634,0.5721270490757707,0.8382459801927549
mod2bre,3.709888479012133,0.008280233806062132,3.714558166416931,3.7168009598038063,0.5639559841147787,0.8348171022190969
mod2bre,3.718168712818195,0.008197890598808488,3.7228374690134514,3.7250782411021817,0.5695070139060994,0.8428422166295884
mod2bre,3.7263666034170035,0.008273341082875696,3.731062707276168,3.733338433976941,0.5676187905372946,0.8426862243559311
mod2bre,3.7346399444998792,0.008250240469019232,3.7393441146490827,3.7415255994283583,0.570185822688227,0.8346005130802671
mod2bre,3.7428901849688985,0.008203214844743734,3.747560905686606,3.74977974164857,0.5693768609145333,0.8398605680900731
mod2bre,3.751093399813642,0.008274717202009896,3.7557705642750796,3.758057252885767,0.565235566032557,0.8415820023955959
mod2bre,3.759368117015652,0.00821175017780762,3.7640419959694715,3.766272583166897,0.569169647470604,0.8408032394731347
mod2bre,3.7675798671934597,0.008230893762259495,3.7722914878586664,3.7745177075959204,0.5724312330224136,0.8429024359750904
mod2bre,3.775810760955719,0.008286315031879266,3.780518826656967,3.782793832664227,0.5681736312383701,0.8427234158540411
